"sampleid" "activity" "mean" "std"
14 "walking_upstairs" -0.0675839973893266 -0.154654281147419
15 "laying" -0.503206390416014 -0.962181718324916
15 "sitting" -0.497422802402046 -0.97025459222907
15 "standing" -0.501770733626754 -0.966132857181246
15 "walking" -0.165837482937167 -0.446391143626077
15 "walking_downstairs" -0.018343557439798 -0.209767527583023
15 "walking_upstairs" -0.167364829544122 -0.421318509545474
16 "laying" -0.512261230093331 -0.974313487683983
16 "sitting" -0.500715990291599 -0.968810838932806
16 "standing" -0.511973313638373 -0.977221575462315
16 "walking" -0.226528081859032 -0.539749355518122
16 "walking_downstairs" -0.097646379462392 -0.333898926802489
16 "walking_upstairs" -0.247318746084742 -0.518665903063102
17 "laying" -0.493147100517735 -0.969502280717029
17 "sitting" -0.511807902533892 -0.982201351581439
17 "standing" -0.523527623853675 -0.98342571462704
17 "walking" -0.180876916238073 -0.437683311620571
17 "walking_downstairs" -0.117045048974242 -0.349846604199914
17 "walking_upstairs" -0.180887757725832 -0.424126942064918
18 "laying" -0.504350354328079 -0.987915725314685
18 "sitting" -0.500879188018935 -0.98682249891547
18 "standing" -0.51159610403823 -0.977252557799917
18 "walking" -0.235871294315281 -0.553086396517316
18 "walking_downstairs" -0.232639629533945 -0.52241384561708
18 "walking_upstairs" -0.282511419626969 -0.570427044938871
19 "laying" -0.509003422068129 -0.975283077013509
19 "sitting" -0.485545520880056 -0.9708062616978
19 "standing" -0.502360007746994 -0.968736065118306
19 "walking" 0.0185747466575533 -0.166549887439714
19 "walking_downstairs" 0.207842446636077 0.102040595148446
19 "walking_upstairs" -0.0845329172028788 -0.309249674295568
20 "laying" -0.50402180870232 -0.971673243807487
20 "sitting" -0.490150258459881 -0.962054556825528
20 "standing" -0.483051016351879 -0.924119798111249
20 "walking" -0.00743287435070826 -0.183373669065847
20 "walking_downstairs" 0.0205673516885596 -0.112178541969717
20 "walking_upstairs" -0.110537891611682 -0.300987852818651
21 "laying" -0.49217039828296 -0.966463192717172
21 "sitting" -0.505868080101233 -0.980383901240642
21 "standing" -0.515461450059273 -0.965203536826694
21 "walking" -0.12972532338521 -0.349500177592578
21 "walking_downstairs" -0.0434805464459461 -0.235810184772458
21 "walking_upstairs" -0.177786205194939 -0.419599595109684
22 "laying" -0.488323361132555 -0.949517000464268
22 "sitting" -0.483133445839389 -0.957196402985694
22 "standing" -0.498255676157369 -0.955314916002886
22 "walking" -0.0556136405290072 -0.26807311689122
22 "walking_downstairs" -0.0321664187679554 -0.262597418835227
22 "walking_upstairs" -0.0840679501617965 -0.29935642051746
23 "laying" -0.502068483700922 -0.974838249659091
23 "sitting" -0.492153863023393 -0.960073119210339
23 "standing" -0.507486524729542 -0.962661937054367
23 "walking" -0.0151920652623677 -0.178675924182244
23 "walking_downstairs" 0.0856423076854714 -0.096587253434725
23 "walking_upstairs" -0.138862085159026 -0.380009725559834
24 "laying" -0.499245803186717 -0.977079799002525
24 "sitting" -0.496419075664324 -0.977869422566845
24 "standing" -0.503253505697188 -0.965586593825209
24 "walking" -0.20820533795512 -0.505709536494514
24 "walking_downstairs" -0.121025608942815 -0.361825458960094
24 "walking_upstairs" -0.224183976119461 -0.501053199934977
25 "laying" -0.450866870566094 -0.859226441427107
25 "sitting" -0.49641281595442 -0.978816477948252
25 "standing" -0.502494367163354 -0.97601896464783
25 "walking" -0.261609986650979 -0.578702555047461
25 "walking_downstairs" -0.202515388020726 -0.489388597208359
25 "walking_upstairs" -0.282541876168821 -0.588295610674266
26 "laying" -0.508710403510201 -0.980657343927432
26 "sitting" -0.492601756042066 -0.971816617586636
26 "standing" -0.504876753283632 -0.975943695888616
26 "walking" -0.170675802716523 -0.466805034954854
26 "walking_downstairs" -0.0661373995186115 -0.284848807776182
26 "walking_upstairs" -0.193503264709355 -0.467172712379008
27 "laying" -0.509062502687154 -0.985017043521703
27 "sitting" -0.495477709500965 -0.981737422142857
27 "standing" -0.509779188132768 -0.977877930784091
27 "walking" -0.175650242052601 -0.454950979293647
27 "walking_downstairs" -0.0636421703057369 -0.297589565580647
27 "walking_upstairs" -0.235577658113458 -0.500441710464349
28 "laying" -0.535170511866983 -0.964252162746212
28 "sitting" -0.497144560959832 -0.964937670239899
28 "standing" -0.489441887481676 -0.935392243072497
28 "walking" -0.174213213286403 -0.453530772337374
28 "walking_downstairs" -0.0270513374056252 -0.251741788748867
28 "walking_upstairs" -0.19566630324426 -0.451136779495425
29 "laying" -0.505500411371238 -0.988594156319719
29 "sitting" -0.496017831658121 -0.982026481712121
29 "standing" -0.508231420141435 -0.985727862638695
29 "walking" -0.119527758730457 -0.394165626288159
29 "walking_downstairs" -0.0622532573329514 -0.295372120789495
29 "walking_upstairs" -0.136016812398584 -0.32789664862457
30 "laying" -0.496127699551121 -0.97131121374026
30 "sitting" -0.492447529744965 -0.971669425166178
30 "standing" -0.487123238836514 -0.941460565007704
30 "walking" -0.145907370846527 -0.388133759487506
30 "walking_downstairs" -0.102448771145494 -0.332598011603382
30 "walking_upstairs" -0.221270619924211 -0.45655535663849
